latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type,predicted_type,max_prob,prob_type2
30.02059,80.56812,305.73,0.39,0.36,2024-01-01,2020,N20,VIIRS,n,2,280.0,1.61,N,0,2,0.75,0.75
23.73543,86.431,304.36,0.47,0.48,2024-01-01,2021,N20,VIIRS,n,2,288.48,2.04,N,0,2,0.83,0.83
22.01896,83.75241,307.85,0.53,0.42,2024-01-01,2022,N20,VIIRS,n,2,289.49,1.91,N,0,2,0.81,0.81
16.33283,75.39091,301.23,0.43,0.38,2024-01-01,2024,N20,VIIRS,n,2,287.33,1.26,N,0,2,0.76,0.76
21.70517,87.32929,300.7,0.4,0.37,2024-01-03,1944,N20,VIIRS,n,2,285.31,0.64,N,0,2,0.8,0.8
31.3446,77.67332,305.35,0.43,0.62,2024-01-03,2122,N20,VIIRS,n,2,275.82,1.77,N,0,2,0.75,0.75
18.61481,76.09339,316.92,0.67,0.74,2024-01-03,2126,N20,VIIRS,n,2,285.15,3.45,N,0,2,0.71,0.71
23.8401,85.46601,296.55,0.6,0.53,2024-01-04,1925,N20,VIIRS,n,2,285.97,1.32,N,0,2,0.75,0.75
33.01257,74.30998,299.08,0.44,0.39,2024-01-04,2103,N20,VIIRS,n,2,264.94,1.29,N,0,2,0.77,0.77
22.01776,83.75208,301.01,0.43,0.62,2024-01-05,2047,N20,VIIRS,n,2,286.57,1.36,N,0,2,0.73,0.73
20.86327,84.99133,298.94,0.55,0.68,2024-01-05,2047,N20,VIIRS,n,2,288.15,2.14,N,0,2,0.81,0.81
18.20993,79.53307,310.53,0.55,0.51,2024-01-05,2048,N20,VIIRS,n,2,289.2,2.33,N,0,2,0.82,0.82
20.97237,85.01949,296.7,0.54,0.51,2024-01-06,2028,N20,VIIRS,n,2,286.48,1.68,N,0,2,0.86,0.86
20.96883,85.01333,314.8,0.54,0.51,2024-01-06,2028,N20,VIIRS,n,2,288.32,2.46,N,0,2,0.72,0.72
17.74802,81.9256,301.81,0.4,0.44,2024-01-06,2029,N20,VIIRS,n,2,284.82,0.79,N,0,2,0.74,0.74
23.79618,87.07245,298.17,0.5,0.41,2024-01-07,2009,N20,VIIRS,n,2,287.85,1.83,N,0,2,0.72,0.72
21.71465,83.41358,329.25,0.49,0.4,2024-01-08,722,N20,VIIRS,l,2,302.48,6.25,D,0,2,0.79,0.79
22.31407,82.73624,299.9,0.53,0.42,2024-01-08,1950,N20,VIIRS,n,2,288.86,1.03,N,0,2,0.76,0.76
28.09219,95.56581,325.48,0.55,0.43,2024-01-09,704,N20,VIIRS,l,2,300.35,8.35,D,0,2,0.71,0.71
23.76355,86.41579,297.22,0.42,0.45,2024-01-09,1931,N20,VIIRS,n,2,286.36,0.98,N,0,2,0.77,0.77
24.6585,73.87531,296.64,0.46,0.47,2024-01-09,2112,N20,VIIRS,n,2,285.11,0.76,N,0,2,0.75,0.75
16.23848,75.07748,301.85,0.39,0.36,2024-01-11,2036,N20,VIIRS,n,2,287.84,0.76,N,0,2,0.77,0.77
31.01195,77.78703,302.38,0.35,0.57,2024-01-13,1954,N20,VIIRS,n,2,278.69,1.15,N,0,2,0.74,0.74
23.99228,82.62458,295.69,0.46,0.39,2024-01-13,1956,N20,VIIRS,n,2,282.27,0.67,N,0,2,0.78,0.78
23.79238,87.07565,300.34,0.39,0.36,2024-01-13,1956,N20,VIIRS,n,2,290.12,1.56,N,0,2,0.8,0.8
22.31374,82.74014,305.81,0.44,0.39,2024-01-13,1956,N20,VIIRS,n,2,287.67,1.08,N,0,2,0.76,0.76
23.79515,85.55988,298.54,0.39,0.36,2024-01-13,1956,N20,VIIRS,n,2,287.95,1.29,N,0,2,0.86,0.86
21.00197,86.02711,301.81,0.5,0.41,2024-01-14,1938,N20,VIIRS,n,2,289.64,1.41,N,0,2,0.77,0.77
22.02108,83.7459,303.5,0.68,0.74,2024-01-15,2059,N20,VIIRS,n,2,285.3,1.86,N,0,2,0.84,0.84
22.31529,82.73628,298.65,0.58,0.69,2024-01-15,2059,N20,VIIRS,n,2,286.14,1.1,N,0,2,0.75,0.75
21.32024,72.86204,311.97,0.46,0.39,2024-01-15,2100,N20,VIIRS,n,2,285.63,1.54,N,0,2,0.74,0.74
18.38461,73.8867,301.96,0.57,0.43,2024-01-15,2101,N20,VIIRS,n,2,287.12,1.41,N,0,2,0.76,0.76
33.1958,75.89005,296.89,0.4,0.37,2024-01-16,2038,N20,VIIRS,n,2,267.1,0.8,N,0,2,0.77,0.77
22.00335,82.67291,301.94,0.58,0.52,2024-01-16,2040,N20,VIIRS,n,2,288.48,2.01,N,0,2,0.77,0.77
24.65768,73.87445,296.87,0.39,0.37,2024-01-16,2040,N20,VIIRS,n,2,286.39,1.29,N,0,2,0.75,0.75
24.14114,82.56647,310.35,0.43,0.38,2024-01-17,2021,N20,VIIRS,n,2,285.7,2.22,N,0,2,0.76,0.76
23.3288,70.21126,300.52,0.35,0.56,2024-01-17,2022,N20,VIIRS,n,2,287.79,0.98,N,0,2,0.79,0.79
13.49211,77.23146,300.85,0.56,0.43,2024-01-18,2005,N20,VIIRS,n,2,289.59,1.56,N,0,2,0.85,0.85
22.10405,83.52425,307.17,0.39,0.44,2024-01-19,1944,N20,VIIRS,n,2,288.0,2.15,N,0,2,0.74,0.74
17.29828,73.39861,305.21,0.46,0.47,2024-01-20,2107,N20,VIIRS,n,2,290.31,1.73,N,0,2,0.75,0.75
34.60299,74.29779,295.99,0.41,0.37,2024-01-21,2044,N20,VIIRS,n,2,270.86,0.62,N,0,2,0.77,0.77
19.1013,82.16747,299.18,0.39,0.59,2024-01-21,2048,N20,VIIRS,n,2,285.43,1.54,N,0,2,0.77,0.77
20.14318,73.54007,300.97,0.39,0.36,2024-01-21,2048,N20,VIIRS,n,2,287.88,2.0,N,0,2,0.71,0.71
23.79597,85.56013,295.45,0.51,0.5,2024-01-22,2027,N20,VIIRS,n,2,284.26,1.85,N,0,2,0.74,0.74
26.77156,94.5055,305.06,0.4,0.6,2024-01-23,2007,N20,VIIRS,n,2,281.81,1.57,N,0,2,0.83,0.83
21.246,79.23086,297.53,0.45,0.39,2024-01-23,2010,N20,VIIRS,n,2,287.3,1.39,N,0,2,0.74,0.74
19.27412,76.21613,296.16,0.41,0.45,2024-01-23,2010,N20,VIIRS,n,2,285.74,1.42,N,0,2,0.89,0.89
23.73197,86.75696,298.89,0.39,0.36,2024-01-24,1950,N20,VIIRS,n,2,287.69,1.14,N,0,2,0.74,0.74
